id,title,kind,rating,text,reportAccession,reportNumber,reportDate,page,url,source,firstSeenAt
ML26072A198:Finding / violation:7b3c8a27b966c067,One finding of very low security significance (Green) is documented in this report,Finding / violation,Green,"One finding of very low security significance (Green) is documented in this report. This finding
involved a violation of NRC requirements. We are treating this violation as a non-cited violation
(NCV) consistent with Section 2.3.2 of the Enforcement Policy.",ML26072A198,2026401,2026-03-17,1,https://www.nrc.gov/docs/ML2607/ML26072A198.pdf,NRC report text,2026-09-08T22:12:23.417707Z
ML26055A151:Minor violation:71111.21N.05:4,Minor Violation · 71111.21N.05,Minor violation,Minor,"Minor Violation                                                              71111.21N.05
Minor Violation: During performance of Procedure FPSP-RO-10, “Fire Water Suppression
System Flow Test,” on May 08, 2023, per WO 52965257-01, unexpected results were
encountered during Section 5.4 and 5.5 for the inside loop path 2 and 3 when compared to
the previous 2017 flow performance test. Path 2 was the branch connection to the turbine
building fire hoses through valve MV-FP283 and MV-FP1162. Path 3 was the branch
connection to the transformer deluge through valves MV-FP282 and MV-FP117.

The flow tests for these two paths have only been performed twice since they were
added to the procedure in 2016. In the 2017 tests, the inside loop path 2 flow was
1099 gallon-per-minute (gpm) and the path 3 flow was 1135 gpm. In the 2023 tests,
the inside loop path 2 flow was 832 gpm and the path 3 flow was 774 gpm. CR PAL-01124
“FPSP-RO-10 Fire Suppression Water System Flow Test Degraded,” was initiated at that
time and noted there maybe flow restrictions in the fire system cross tie or associated piping.



The CR was closed to work request (WR) 01124 to inspect MV-FP283 internals to check
for obstruction.

During the inspectors’ review of Procedure FPSP-RO-10, the inspectors noticed that the
procedure did not include acceptance criteria for testing the fire water suppression flow for
these two paths.

The site noted that WO 00589203 for WR 01124 was required to be completed during the
fire protection system return-to-service plan or a justification would be needed.

Screening: The inspectors determined that the performance deficiency for failure to include
acceptance criteria in Procedure FPSP-RO-10 for testing inside loop paths 2 and 3 was minor
because the unacceptable results for paths 2 and 3 were recognized by the licensee and
documented in CR PAL-01124.

Enforcement: License Condition 2.C.(3) stated that Palisades Energy shall implement
and maintain in effect all previsions of the approved fire protection program. Procedure
FPSP-RO-10 was the implementing procedure for testing the fire water suppression system
flow.

Contrary to the above, Procedure FPSP-RO-10 failed to include the acceptance criteria
for the inside loop paths 2 and 3. The licensee documented this issue in CR 25015259
“FPSP-RO-10 did not include Acceptance Criteria for Flow Test.”

This failure to comply with the above requirements constitutes a minor violation that is
not subject to enforcement action in accordance with the NRC’s Enforcement Policy.",ML26055A151,2025008,2026-02-26,7,https://www.nrc.gov/docs/ML2605/ML26055A151.pdf,NRC report text,2026-09-08T22:12:23.417707Z
ML26055A151:Minor violation:71111.21N.05:3,Minor Violation · 71111.21N.05,Minor violation,Minor,"Minor Violation                                                                  71111.21N.05

Minor Violation: The inspectors requested the previous work orders documentation of the
two diesel driven fire water pump (P-9B and P-41,) engine (K-5 and K-10) inspection, and
preventive maintenance which was completed during the shutdown period. The site failed
to locate three work orders in records including WO 00584081-01 for Pump P-9B, 2023
WO 50083624-01 for P-41, and 2025 WO 52990823-01 for P-41. Upon further searching,
two of the three missing WOs were located outside of the document control and records
management process. The 2023 WO 50083624-01 for P-41/K-10 engine inspection was not
located by the exit for this inspection.

Screening: The inspectors determined that the performance deficiency was minor since the
most recent completed work order in 2025 for P-41/K-10 was available and provided
assurance that the engine was successfully inspected.

Enforcement: License Condition 2.C.(3) stated Palisades Energy shall implement and
maintain in effect all provisions of the approved fire protection program. Site Procedure
FPIP-4, “Fire Protection Systems and Fire Protection Equipment,” Section 20.2 was the
implementing procedure of the approved fire protection program and required records to
be filed in accordance with the document control and records management process.

Procedure DSP-RM-001, “Document Control and Records Management Process,”
which required official records to be transmitted within 30 days after record completion.

Contrary to the above requirements, the licensee failed to maintain the official records for
WO 50083624-01 for P-41/K-10 fire engine inspection. The licensee entered this issue into
their corrective action program and initiated CR 25015056 “Failure to meet Procedure
DSP-RM-001 Requirement for Transmitting Official Records.”

This failure to comply with DSP-RM-001 constitutes a minor violation that is not subject
to enforcement action in accordance with the NRC’s Enforcement Policy.",ML26055A151,2025008,2026-02-26,7,https://www.nrc.gov/docs/ML2605/ML26055A151.pdf,NRC report text,2026-09-08T22:12:23.417707Z
ML26055A151:Minor violation:71111.21N.05:2,Minor Violation · 71111.21N.05,Minor violation,Minor,"Minor Violation                                                                 71111.21N.05
Minor Violation: During a walkdown of the Auxiliary Feedwater Pump P-8D enclosure, the
inspectors questioned the presence of combustibles in the 5-foot perimeter. Combustibles
included a temporary metal office with windows within 3 feet of the east side of the P-8D
enclosure/trailer and additional combustibles laying on the ground.

Attachment 1 of Procedure ENG-329, “Control of Combustibles,” identified Fire Area 59,
the auxiliary feedwater Pump P-8D enclosure/trailer, as Level 1 combustible area including
a 5-foot perimeter surrounding this fire area. Compensatory measures were required for any
transient combustibles in the area.

Screening: The inspectors determined that the failure to maintain Level 1 combustible
controls for P-8D was a minor performance deficiency since pump P-8D was not required to
be functional for the current plant shutdown conditions.

Enforcement: License Condition 2.C.(3) stated Palisades Energy shall implement and
maintain in effect all provisions of the approved fire protection program. Site Procedure
ENG-329, “Control of Combustibles,” Revision 2 was the implementing procedure of the
approved fire protection program. Attachment 1 of ENG-329 identified Fire Area 59,
Pump P-8D as a Level 1 combustible area including a 5-foot perimeter surrounding this
fire area.

Contrary to this requirement, as of December 9, 2025, transient combustibles were found
within 3 feet of P-8D trailer, and no compensatory measures were established.

In response to the inspectors’ concern, the site-initiated CR 25015052 “Combustible Materials
were Found Contrary to ENG-329.” The site removed the combustible materials and planned
to remove the office building prior to declaring the P-8D system functional.





This failure to comply with ENG-329 constitutes a minor violation that is not subject to
enforcement action in accordance with the NRC’s Enforcement Policy.",ML26055A151,2025008,2026-02-26,6,https://www.nrc.gov/docs/ML2605/ML26055A151.pdf,NRC report text,2026-09-08T22:12:23.417707Z
ML26055A151:Minor violation:71111.21N.05:1,Minor Violation · 71111.21N.05,Minor violation,Minor,"Minor Violation                                                                   71111.21N.05
 Minor Violation: Palisades had the option of hydrostatically pressure testing fire hoses
 every three years or replacing them with new fire hoses every five years. Work Order
 (WO) 53007241-01 was initiated to replace all fire hoses prior to the site entering technical
 specifications on August 26, 2025. Due to site procurement delays, all fire hoses were not
 replaced or hydrostatically pressure tested as required with some fire hoses last replaced
 in 2018.

  Prior to this inspection, condition report (CR) 25014235, “Fire Hose Replacement or
  Hydrostatic Test not Complete,” was initiated on November 11, 2025. This CR identified
  scheduling conflicts prevented hydrostatic pressure testing of fire hoses which were not
  replaced. At this time, the site failed to establish compensatory actions for the affected fire
  hoses as required per Procedure FPIP-4, “Fire Protection Systems and Fire Protection
  Equipment,” Revision 45.

  The inspectors questioned the number and installed location of the expired fire hoses.
  In response to the inspectors’ question, the site identified 30 fire hoses which failed to be
  tested or replaced at the required frequency including some located inside the power block.





Screening: The inspectors determined that the performance deficiency for the failure to test or
replace fire hoses at the required frequency was a minor since the fire brigade were trained to
bring a high-rise fire hose when responding to fire events. The installed expired fire hoses
would still perform their function at some capacity, and due to the current defueled state of
the plant there was no potential release from the core in event of fire.

Enforcement: License Condition 2.C.(3) stated that Palisades Energy shall implement and
maintain in effect all provisions of the approved fire protection program. Site Procedure
FPIP-4, “Fire Protection Systems and Fire Protection Equipment,” Revision 45 was the
implementing procedure of the approved fire protection program which required licensee to
establish compensatory actions for the affected fire hoses.

As a result of this inspection, all power block fire hoses were replaced upon discovery and
compensatory measure, including fire tours, in accordance with FPIP-4 were established
for the remaining fire hose locations. CR 25015303 “Fire Hose to be Hydrostatic Tested
or Replaced,” was initiated on December 17, 2025, documenting this issue.

This failure to comply with requirement of FPIP-4 and establish compensatory actions
constitutes a minor violation that is not subject to enforcement action in accordance with
the NRC’s Enforcement Policy.",ML26055A151,2025008,2026-02-26,5,https://www.nrc.gov/docs/ML2605/ML26055A151.pdf,NRC report text,2026-09-08T22:12:23.417707Z
ML25357A093:Licensee-identified violation:71124.08:1,Licensee-Identified Non-Cited Violation · 71124.08,Licensee-identified violation,Green,"Licensee-Identified Non-Cited Violation                                           71124.08
This violation of very low safety significance was identified by the licensee and has been
entered into the licensee corrective action program and is being treated as a non-cited
violation, consistent with Section 2.3.2 of the Enforcement Policy.
Violation: Title 10 of the Code of Federal Regulations (10 CFR) Part 71.5 requires, in part,
that each licensee who transports licensed material outside the site of usage comply with the
applicable requirements of the Department of Transportation (DOT) regulations in 49 CFR
Parts 171 through 180. 49 CFR 173.441 requires, in part, that exclusive use shipment
radiation levels not exceed 10 mrem/h at any point two meters from the outer lateral surfaces
of the vehicle (excluding the top and underside of the vehicle). Contrary to the above,
on September 23, 2025, the licensee failed to comply with the applicable requirements of the
DOT regulations in 49 CFR Parts 171 through 180 as required by 10 CFR 71.5. Specifically,
the licensee failed to comply with 49 CFR 173.441 when the licensee transported radioactive
waste off-site via exclusive use with dose rates of up to 16.2 mrem/hr at two meters from the
lateral surfaces (sides) of the vehicle.

Significance/Severity: Green. The performance deficiency was assessed using Inspection
Manual Chapter (IMC) 0609, Appendix D as a finding in transportation or Part 61. An external
radiation limit was exceeded in a location accessible by the public. However, the IMC allows
for other considerations to be taken into account when determining if an issue reaches the
White threshold. In this instance, the shipment was an exclusive use shipment and surveys
conducted upon return of the transport vehicle that were conducted with a survey instrument
that averages dose rates over a larger cross-sectional area indicated maximum dose rates of
10 mrem/hr at two meters from the lateral surfaces of the vehicle. With these considerations
taken into account, this issue was determined to be of very low safety significance (Green).

Corrective Action References: AR 25012715",ML25357A093,2025005,2025-12-23,15,https://www.nrc.gov/docs/ML2535/ML25357A093.pdf,NRC report text,2026-09-08T22:12:23.417707Z
05000255/2025005-01,License Amendment Required for Change of Critical Heat Flux Correlations Used in the Main Steam Line Break Analysis to Predict the Minimum Departure of Nucleate Boiling Ratio,Finding / violation,Green,"License Amendment Required for Change of Critical Heat Flux Correlations Used in the
 Main Steam Line Break Analysis to Predict the Minimum Departure of Nucleate Boiling Ratio
 Cornerstone         Significance/Severity                     Cross-Cutting Report Section
                                                               Aspect
 Barrier Integrity Green                                       None (NPP)        71111.21M
                     Severity Level IV
                     NCV 05000255/2025005‑01
                     Open/Closed
 The inspectors identified a very low safety significant (Green) and associated severity level IV
 non-cited violation of Title 10 of the Code of Federal Regulations (10 CFR) 50.59 because
 the licensee failed to obtain NRC approval prior to changing the critical heat flux correlations
 applied in their main steam line break analysis to predict the minimum departure from
 nucleate boiling ratio. Subsequently, the licensee submitted a license amendment request
 which was approved by the NRC as license amendment number 279 (ADAMS Accession
 No. ML25156A045).",ML25357A093,2025005,2025-12-23,5,https://www.nrc.gov/docs/ML2535/ML25357A093.pdf,NRC report text,2026-09-08T22:12:23.417707Z
ML25205A049:Finding / violation:60ad8ca1d969cf75,One Severity Level IV violation without an associated finding is documented in this report,Finding / violation,Severity Level IV,"One Severity Level IV violation without an associated finding is documented in this report. We are
treating this violation as a non-cited violation (NCV) consistent with Section 2.3.2 of the
Enforcement Policy.",ML25205A049,2025403,2025-07-24,1,https://www.nrc.gov/docs/ML2520/ML25205A049.pdf,NRC report text,2026-09-08T22:12:23.417707Z
07200007/2024001-01,Failure to Correct an Inadequate Surveillance on the Spent Fuel Pool Overhead Crane,Finding / violation,Severity Level IV,"Failure to Correct an Inadequate Surveillance on the Spent Fuel Pool Overhead Crane
 Cornerstone          Severity                                   Cross-Cutting Report Section
                                                                 Aspect
 Not Applicable       Severity Level IV                          Not Applicable 60855
                      NCV 07200007/2024001‑01
                      Open/Closed
 The inspectors identified a severity level IV non-cited violation of Title 10 of the Code of
 Federal Regulations (10 CFR) Part 50, Appendix B, Criterion XVI, “Corrective Action,” for the
 licensee’s failure to establish measures to assure a condition adverse to quality was
 corrected. Specifically, the licensee did not take corrective action when they identified that
 the spent fuel pool overhead crane annual surveillance was performed without calibrated
 measuring and test equipment (M&TE). As a result, the safety-related work could not be
 validated, and the site could not maintain traceability of equipment used to perform
 measurements in the surveillance.",ML25083A268,2025001,2025-03-26,5,https://www.nrc.gov/docs/ML2508/ML25083A268.pdf,NRC report text,2026-09-08T22:12:23.417707Z
05000255/2024004-02,One Severity Level IV NCV of 10 CFR 50.82(a)(8)(i) was identified because Holtec Decommissioning International (HDI) used the Decommissioning Trust Fund (DTF) for expenses that were not legitimate decommissioning activities,Finding / violation,Severity Level IV,"One Severity Level IV NCV of 10 CFR 50.82(a)(8)(i) was identified because Holtec
     Decommissioning International (HDI) used the Decommissioning Trust Fund (DTF) for
     expenses that were not legitimate decommissioning activities. One Unresolved Item (URI)
     was opened to address questions related to use of the DTF during a restart initiative.",ML25041A225,2024004,2025-02-14,5,https://www.nrc.gov/docs/ML2504/ML25041A225.pdf,NRC report text,2026-09-08T22:12:23.417707Z
05000255/2024012-01,Locked High Radiation Area Identified During Chemical Decontamination,Finding / violation,Severity Level IV,"Locked High Radiation Area Identified During Chemical Decontamination
 Cornerstone          Severity                                   Cross-Cutting     Report
                                                                 Aspect            Section
 Not Applicable       Severity Level IV                          Not Applicable    71124.01
                      NCV 05000255/2024012-01
                      Open/Closed
 A self-revealed Severity Level IV Non-Cited Violation (NCV) of Technical Specification
 (TS) 5.7.2 was identified when the licensee failed to post and control an area meeting Locked
 High Radiation Area (LHRA) conditions.",ML24317A041,2024012,2024-11-12,5,https://www.nrc.gov/docs/ML2431/ML24317A041.pdf,NRC report text,2026-09-08T22:12:23.417707Z
05000255/2023004-01,The NRC identified one SL IV NCV of 10 CFR 50.82(a)(8)(i) for using the Palisades Decommissioning Trust Fund (DTF) for expenses that were not legitimate decommissioning activities.,Finding / violation,Severity Level IV,"The NRC identified one SL IV NCV of 10 CFR 50.82(a)(8)(i) for using the Palisades
    Decommissioning Trust Fund (DTF) for expenses that were not legitimate decommissioning
    activities.",ML24045A147,2023004,2024-02-20,5,https://www.nrc.gov/docs/ML2404/ML24045A147.pdf,NRC report text,2026-09-08T22:12:23.417707Z
